                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0035,                 4.2942,                 2.0947,                  0.804,                0.83333,                0.88667,                0.46315,                 1.4867,                 2.0888,                 1.6469,                 0.0793,                 0.0023,                 0.0023
                      1,                 1.4707,                 2.2278,                  1.551,                0.73225,                      1,                   0.83,                0.33337,                 1.9032,                 2.7892,                  1.663,               0.057607,              0.0046069,              0.0046069
                      2,                 1.3765,                 2.0098,                 1.3689,                0.83333,                0.83333,                  0.955,                0.41163,                 1.7723,                 8.2743,                  1.505,               0.035819,              0.0068188,              0.0068188
                      3,                  1.204,                 3.8601,                 1.1522,                      1,                0.66667,                  0.955,                0.36922,                 1.7518,                  8.311,                 1.4427,               0.013936,              0.0089357,              0.0089357
                      4,                 1.3079,                 3.1083,                 1.1986,                0.59477,                      1,                0.83325,                0.35229,                 2.1136,                 1.7947,                 1.6646,               0.009208,               0.009208,               0.009208
                      5,                 1.1687,                 1.7254,                 1.2236,                0.95671,                0.33333,                0.52597,                0.18727,                 2.1044,                 2.7615,                  1.956,               0.009208,               0.009208,               0.009208
                      6,                 1.2707,                 1.8886,                 1.4001,                      1,                0.65009,                0.91333,                0.46061,                 1.6857,                 1.8964,                 1.3773,                0.00901,                0.00901,                0.00901
                      7,                 1.3582,                 1.8878,                 1.1797,                0.76869,                0.83333,                0.90267,                0.26645,                 2.4688,                 2.2881,                 2.5443,               0.008812,               0.008812,               0.008812
                      8,                 1.2113,                 1.4659,                 1.1219,                0.92767,                      1,                  0.995,                0.42682,                   1.96,                 2.5868,                 1.9014,               0.008614,               0.008614,               0.008614
                      9,                 1.0593,                 1.1485,                  1.052,                0.82653,                0.83333,                0.83867,                0.36294,                 2.2613,                 0.7749,                 2.1738,               0.008416,               0.008416,               0.008416
                     10,                 1.1275,                0.99199,                 1.0895,                      1,                0.99844,                  0.995,                0.51798,                 1.8685,                0.77769,                 1.7654,               0.008218,               0.008218,               0.008218
                     11,                 1.0724,                 1.0401,                 1.0687,                0.97434,                      1,                  0.995,                 0.5017,                 1.6212,                 1.3298,                 1.5098,                0.00802,                0.00802,                0.00802
                     12,                 1.1417,                0.78209,                 1.1389,                0.95865,                      1,                  0.995,                0.64664,                 1.3556,                 1.3546,                 1.2326,               0.007822,               0.007822,               0.007822
                     13,                 1.0709,                0.77575,                 1.0784,                0.98786,                      1,                  0.995,                 0.6029,                 1.5625,                0.54732,                 1.3928,               0.007624,               0.007624,               0.007624
                     14,                 1.1105,                0.69383,                 1.1156,                0.98881,                      1,                  0.995,                0.60422,                 1.4876,                0.50616,                 1.3435,               0.007426,               0.007426,               0.007426
                     15,                 1.2229,                0.78821,                 1.0722,                0.97918,                      1,                  0.995,                0.50136,                 1.8139,                 1.0334,                  1.703,               0.007228,               0.007228,               0.007228
                     16,                 1.0743,                0.62012,                 1.0554,                 0.9756,                      1,                  0.995,                0.53831,                 1.7056,                0.82537,                 1.5611,                0.00703,                0.00703,                0.00703
                     17,                 1.1546,                0.67456,                 1.0694,                0.84519,                      1,                0.97214,                0.56848,                 1.5905,                0.71678,                 1.5001,               0.006832,               0.006832,               0.006832
                     18,                 1.0975,                0.65626,                  1.043,                0.91549,                      1,                  0.995,                0.47685,                 1.9029,                0.91114,                  1.909,               0.006634,               0.006634,               0.006634
                     19,                 1.1816,                0.64064,                 1.1177,                0.85661,                      1,                0.97214,                0.52687,                 1.6669,                0.88811,                 1.4937,               0.006436,               0.006436,               0.006436
                     20,                 1.0762,                0.59011,                  1.045,                0.84924,                      1,                0.97214,                0.51775,                 1.6912,                0.79255,                 1.5392,               0.006238,               0.006238,               0.006238
                     21,                 1.0337,                0.61482,                 1.0167,                0.84608,                      1,                0.97214,                0.48852,                 1.6606,                  1.014,                 1.5819,                0.00604,                0.00604,                0.00604
                     22,                 1.0147,                  0.653,                0.97173,                0.97997,                      1,                  0.995,                0.54635,                 1.5122,                0.65231,                 1.3997,               0.005842,               0.005842,               0.005842
                     23,                 1.0216,                0.58953,                 1.0378,                0.96566,                      1,                  0.995,                0.60771,                 1.4295,                0.66661,                  1.312,               0.005644,               0.005644,               0.005644
                     24,                 1.0731,                0.62375,                  1.057,                0.98354,                      1,                  0.995,                0.55326,                 1.6149,                0.61399,                 1.4792,               0.005446,               0.005446,               0.005446
                     25,                 1.0307,                0.57896,                 1.0235,                0.98994,                      1,                  0.995,                0.52195,                 1.7929,                0.64257,                 1.6814,               0.005248,               0.005248,               0.005248
                     26,                0.98621,                0.58031,                 1.0248,                 0.9892,                      1,                  0.995,                0.47865,                 1.9718,                0.66242,                 1.8715,                0.00505,                0.00505,                0.00505
                     27,                0.96094,                0.56714,                 1.0355,                0.98985,                      1,                  0.995,                0.52875,                 1.9088,                0.58741,                 1.8645,               0.004852,               0.004852,               0.004852
                     28,                0.89189,                0.56932,                 1.0071,                0.98766,                      1,                  0.995,                0.49965,                 1.9557,                0.64418,                  2.063,               0.004654,               0.004654,               0.004654
                     29,                0.94782,                0.56917,                 1.0196,                0.98252,                      1,                  0.995,                0.56393,                 1.9342,                0.62711,                 1.9234,               0.004456,               0.004456,               0.004456
                     30,                0.92203,                0.52738,                0.95248,                0.96791,                      1,                  0.995,                0.54739,                 2.0154,                0.72318,                 2.0932,               0.004258,               0.004258,               0.004258
                     31,                0.90634,                0.52111,                0.99302,                0.98942,                      1,                  0.995,                0.53863,                 1.9509,                0.70037,                 1.9892,                0.00406,                0.00406,                0.00406
                     32,                0.91407,                 0.5515,                0.98137,                0.98821,                      1,                  0.995,                0.46767,                 1.9712,                0.72084,                 1.9755,               0.003862,               0.003862,               0.003862
                     33,                0.98504,                0.53198,                 1.0209,                0.98824,                      1,                  0.995,                0.45435,                  1.977,                0.70078,                 2.0082,               0.003664,               0.003664,               0.003664
                     34,                0.97634,                0.54978,                 1.0376,                0.98952,                      1,                  0.995,                0.45104,                 2.0244,                0.71658,                 2.0782,               0.003466,               0.003466,               0.003466
                     35,                 0.8535,                 0.4652,                 1.0168,                0.98818,                      1,                  0.995,                0.44231,                 1.9507,                0.69777,                 2.0417,               0.003268,               0.003268,               0.003268
                     36,                0.89548,                0.47706,                  1.021,                0.98995,                      1,                  0.995,                0.52627,                 1.8776,                0.61801,                 1.9078,                0.00307,                0.00307,                0.00307
                     37,                0.84047,                0.46127,                0.97797,                0.99072,                      1,                  0.995,                0.47267,                 1.8809,                0.63134,                 1.9539,               0.002872,               0.002872,               0.002872
                     38,                0.93215,                0.53002,                0.97581,                0.99072,                      1,                  0.995,                 0.4811,                 1.8894,                0.59377,                 1.9302,               0.002674,               0.002674,               0.002674
                     39,                0.77176,                0.47756,                0.96056,                0.99114,                      1,                  0.995,                0.53529,                 1.8145,                0.57829,                 1.8865,               0.002476,               0.002476,               0.002476
                     40,                0.80308,                0.41186,                 0.9688,                0.99097,                      1,                  0.995,                0.56093,                 1.7132,                0.53744,                   1.79,               0.002278,               0.002278,               0.002278
                     41,                0.78711,                0.41557,                0.94027,                 0.9909,                      1,                  0.995,                 0.5742,                 1.6753,                 0.5176,                 1.7575,                0.00208,                0.00208,                0.00208
                     42,                0.80253,                0.38947,                0.93097,                0.99114,                      1,                  0.995,                0.57734,                 1.6479,                0.53893,                 1.7074,               0.001882,               0.001882,               0.001882
                     43,                0.79261,                0.38551,                0.97863,                0.99139,                      1,                  0.995,                0.59299,                 1.6151,                0.52866,                 1.6539,               0.001684,               0.001684,               0.001684
                     44,                0.76151,                0.39417,                0.96496,                0.99134,                      1,                  0.995,                0.57911,                 1.6343,                0.53323,                 1.6847,               0.001486,               0.001486,               0.001486
                     45,                0.72665,                0.36608,                0.91919,                0.99127,                      1,                  0.995,                0.57311,                 1.6587,                0.55269,                 1.7183,               0.001288,               0.001288,               0.001288
                     46,                0.76213,                 0.3645,                0.97427,                0.99114,                      1,                  0.995,                0.57085,                 1.7259,                0.54933,                 1.8789,                0.00109,                0.00109,                0.00109
                     47,                0.74084,                0.37366,                0.93903,                0.99109,                      1,                  0.995,                0.55142,                 1.7446,                0.55539,                 1.8903,               0.000892,               0.000892,               0.000892
                     48,                0.70939,                0.36809,                  0.913,                0.99116,                      1,                  0.995,                0.55281,                 1.7457,                0.56792,                 1.8816,               0.000694,               0.000694,               0.000694
                     49,                0.75149,                0.36378,                0.90737,                0.99106,                      1,                  0.995,                0.55105,                 1.7405,                0.55106,                 1.8765,               0.000496,               0.000496,               0.000496
